instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
220537093,861473,BANKEX25OCTFUT,"BANKEX",0,2025-10-30,0,0.05,30,FUT,BFO-FUT,BFO
223969541,874881,BANKEX25NOVFUT,"BANKEX",0,2025-11-27,0,0.05,30,FUT,BFO-FUT,BFO
282664965,1104160,BANKEX25DECFUT,"BANKEX",0,2025-12-24,0,0.05,30,FUT,BFO-FUT,BFO
220514309,861384,SENSEX25OCTFUT,"SENSEX",0,2025-10-30,0,0.05,20,FUT,BFO-FUT,BFO
223700485,873830,SENSEX25NOVFUT,"SENSEX",0,2025-11-27,0,0.05,20,FUT,BFO-FUT,BFO
282186245,1102290,SENSEX25DECFUT,"SENSEX",0,2025-12-24,0,0.05,20,FUT,BFO-FUT,BFO
220618501,861791,SENSEX5025OCTFUT,"SENSEX50",0,2025-10-30,0,0.05,75,FUT,BFO-FUT,BFO
223879685,874530,SENSEX5025NOVFUT,"SENSEX50",0,2025-11-27,0,0.05,75,FUT,BFO-FUT,BFO
284815877,1112562,SENSEX5025DECFUT,"SENSEX50",0,2025-12-24,0,0.05,75,FUT,BFO-FUT,BFO
220460549,861174,BANKEX25OCT62400CE,"BANKEX",0,2025-10-30,62400,0.05,30,CE,BFO-OPT,BFO
220499205,861325,BANKEX25OCT62400PE,"BANKEX",0,2025-10-30,62400,0.05,30,PE,BFO-OPT,BFO
220455685,861155,BANKEX25OCT62500PE,"BANKEX",0,2025-10-30,62500,0.05,30,PE,BFO-OPT,BFO
220596741,861706,BANKEX25OCT62500CE,"BANKEX",0,2025-10-30,62500,0.05,30,CE,BFO-OPT,BFO
220584965,861660,BANKEX25OCT62300CE,"BANKEX",0,2025-10-30,62300,0.05,30,CE,BFO-OPT,BFO
220622085,861805,BANKEX25OCT62300PE,"BANKEX",0,2025-10-30,62300,0.05,30,PE,BFO-OPT,BFO
220471045,861215,BANKEX25OCT62600CE,"BANKEX",0,2025-10-30,62600,0.05,30,CE,BFO-OPT,BFO
220510981,861371,BANKEX25OCT62600PE,"BANKEX",0,2025-10-30,62600,0.05,30,PE,BFO-OPT,BFO
220486917,861277,BANKEX25OCT62200PE,"BANKEX",0,2025-10-30,62200,0.05,30,PE,BFO-OPT,BFO
220627973,861828,BANKEX25OCT62200CE,"BANKEX",0,2025-10-30,62200,0.05,30,CE,BFO-OPT,BFO
220465925,861195,BANKEX25OCT62700PE,"BANKEX",0,2025-10-30,62700,0.05,30,PE,BFO-OPT,BFO
220607237,861747,BANKEX25OCT62700CE,"BANKEX",0,2025-10-30,62700,0.05,30,CE,BFO-OPT,BFO
220493573,861303,BANKEX25OCT62100CE,"BANKEX",0,2025-10-30,62100,0.05,30,CE,BFO-OPT,BFO
220610053,861758,BANKEX25OCT62100PE,"BANKEX",0,2025-10-30,62100,0.05,30,PE,BFO-OPT,BFO
220483845,861265,BANKEX25OCT62800CE,"BANKEX",0,2025-10-30,62800,0.05,30,CE,BFO-OPT,BFO
220602117,861727,BANKEX25OCT62800PE,"BANKEX",0,2025-10-30,62800,0.05,30,PE,BFO-OPT,BFO
220474373,861228,BANKEX25OCT62000PE,"BANKEX",0,2025-10-30,62000,0.05,30,PE,BFO-OPT,BFO
220615941,861781,BANKEX25OCT62000CE,"BANKEX",0,2025-10-30,62000,0.05,30,CE,BFO-OPT,BFO
220477189,861239,BANKEX25OCT62900PE,"BANKEX",0,2025-10-30,62900,0.05,30,PE,BFO-OPT,BFO
220617989,861789,BANKEX25OCT62900CE,"BANKEX",0,2025-10-30,62900,0.05,30,CE,BFO-OPT,BFO
220514053,861383,BANKEX25OCT61900CE,"BANKEX",0,2025-10-30,61900,0.05,30,CE,BFO-OPT,BFO
220552709,861534,BANKEX25OCT61900PE,"BANKEX",0,2025-10-30,61900,0.05,30,PE,BFO-OPT,BFO
220544773,861503,BANKEX25OCT63000CE,"BANKEX",0,2025-10-30,63000,0.05,30,CE,BFO-OPT,BFO
220581125,861645,BANKEX25OCT63000PE,"BANKEX",0,2025-10-30,63000,0.05,30,PE,BFO-OPT,BFO
220558853,861558,BANKEX25OCT61800CE,"BANKEX",0,2025-10-30,61800,0.05,30,CE,BFO-OPT,BFO
220594693,861698,BANKEX25OCT61800PE,"BANKEX",0,2025-10-30,61800,0.05,30,PE,BFO-OPT,BFO
220500997,861332,BANKEX25OCT63100CE,"BANKEX",0,2025-10-30,63100,0.05,30,CE,BFO-OPT,BFO
220539397,861482,BANKEX25OCT63100PE,"BANKEX",0,2025-10-30,63100,0.05,30,PE,BFO-OPT,BFO
220502533,861338,BANKEX25OCT61700CE,"BANKEX",0,2025-10-30,61700,0.05,30,CE,BFO-OPT,BFO
220541189,861489,BANKEX25OCT61700PE,"BANKEX",0,2025-10-30,61700,0.05,30,PE,BFO-OPT,BFO
220593669,861694,BANKEX25OCT63200PE,"BANKEX",0,2025-10-30,63200,0.05,30,PE,BFO-OPT,BFO
227505669,888694,BANKEX25OCT70200PE,"BANKEX",0,2025-10-30,70200,0.05,30,PE,BFO-OPT,BFO
227589637,889022,BANKEX25OCT70200CE,"BANKEX",0,2025-10-30,70200,0.05,30,CE,BFO-OPT,BFO
227514373,888728,BANKEX25OCT70100CE,"BANKEX",0,2025-10-30,70100,0.05,30,CE,BFO-OPT,BFO
227566085,888930,BANKEX25OCT70100PE,"BANKEX",0,2025-10-30,70100,0.05,30,PE,BFO-OPT,BFO
227573253,888958,BANKEX25OCT70000CE,"BANKEX",0,2025-10-30,70000,0.05,30,CE,BFO-OPT,BFO
227642117,889227,BANKEX25OCT70000PE,"BANKEX",0,2025-10-30,70000,0.05,30,PE,BFO-OPT,BFO
227340037,888047,BANKEX25OCT69900PE,"BANKEX",0,2025-10-30,69900,0.05,30,PE,BFO-OPT,BFO
227410181,888321,BANKEX25OCT69900CE,"BANKEX",0,2025-10-30,69900,0.05,30,CE,BFO-OPT,BFO
220489477,861287,BANKEX25OCT69800CE,"BANKEX",0,2025-10-30,69800,0.05,30,CE,BFO-OPT,BFO
220528901,861441,BANKEX25OCT69800PE,"BANKEX",0,2025-10-30,69800,0.05,30,PE,BFO-OPT,BFO
220535301,861466,BANKEX25OCT69700CE,"BANKEX",0,2025-10-30,69700,0.05,30,CE,BFO-OPT,BFO
220571141,861606,BANKEX25OCT69700PE,"BANKEX",0,2025-10-30,69700,0.05,30,PE,BFO-OPT,BFO
220477445,861240,BANKEX25OCT69600CE,"BANKEX",0,2025-10-30,69600,0.05,30,CE,BFO-OPT,BFO
220517637,861397,BANKEX25OCT69600PE,"BANKEX",0,2025-10-30,69600,0.05,30,PE,BFO-OPT,BFO
220524549,861424,BANKEX25OCT69500CE,"BANKEX",0,2025-10-30,69500,0.05,30,CE,BFO-OPT,BFO
220560901,861566,BANKEX25OCT69500PE,"BANKEX",0,2025-10-30,69500,0.05,30,PE,BFO-OPT,BFO
220504837,861347,BANKEX25OCT69400PE,"BANKEX",0,2025-10-30,69400,0.05,30,PE,BFO-OPT,BFO
220567045,861590,BANKEX25OCT69400CE,"BANKEX",0,2025-10-30,69400,0.05,30,CE,BFO-OPT,BFO
220511493,861373,BANKEX25OCT69300CE,"BANKEX",0,2025-10-30,69300,0.05,30,CE,BFO-OPT,BFO
220548869,861519,BANKEX25OCT69300PE,"BANKEX",0,2025-10-30,69300,0.05,30,PE,BFO-OPT,BFO
